scenario,threshold,longitude,latitude,frequency_change_per_year
ssp245,t10,-87.58574020165334,30.991877302123488,0.20909089
ssp245,t10,-87.36116138062346,30.991877302123488,0.18787879
ssp245,t10,-87.13658255959358,30.991877302123488,0.18787879
ssp245,t10,-86.9120037385637,30.991877302123488,0.18787877
ssp245,t10,-86.68742491753382,30.991877302123488,0.1989899
ssp245,t10,-86.46284609650394,30.991877302123488,0.21313128
ssp245,t10,-86.23826727547406,30.991877302123488,0.2020202
ssp245,t10,-86.01368845444418,30.991877302123488,0.20606063
ssp245,t10,-85.7891096334143,30.991877302123488,0.19595958
ssp245,t10,-85.56453081238442,30.991877302123488,0.18181819
ssp245,t10,-85.33995199135454,30.991877302123488,0.18787877
ssp245,t10,-85.11537317032466,30.991877302123488,0.18787877
ssp245,t10,-87.36116138062346,30.767298481093608,0.21818182
ssp245,t10,-87.13658255959358,30.767298481093608,0.21818182
ssp245,t10,-86.9120037385637,30.767298481093608,0.22323228
ssp245,t10,-86.68742491753382,30.767298481093608,0.2282828
ssp245,t10,-86.46284609650394,30.767298481093608,0.21515153
ssp245,t10,-86.23826727547406,30.767298481093608,0.1959596
ssp245,t10,-86.01368845444418,30.767298481093608,0.19999999
ssp245,t10,-85.7891096334143,30.767298481093608,0.16868684
ssp245,t10,-85.56453081238442,30.767298481093608,0.17373738
ssp245,t10,-85.33995199135454,30.767298481093608,0.17878787
ssp245,t10,-85.11537317032466,30.767298481093608,0.17878787
ssp245,t10,-84.89079434929477,30.767298481093608,0.18282826
ssp245,t10,-84.66621552826489,30.767298481093608,0.20606059
ssp245,t10,-84.441636707235,30.767298481093608,0.21010101
ssp245,t10,-84.21705788620513,30.767298481093608,0.21919192
ssp245,t10,-83.99247906517525,30.767298481093608,0.22626261
ssp245,t10,-81.97126967590633,30.767298481093608,0.22727273
ssp245,t10,-81.74669085487645,30.767298481093608,0.23939392
ssp245,t10,-87.36116138062346,30.542719660063728,0.21313128
ssp245,t10,-87.13658255959358,30.542719660063728,0.21414138
ssp245,t10,-86.9120037385637,30.542719660063728,0.19191918
ssp245,t10,-86.68742491753382,30.542719660063728,0.17878789
ssp245,t10,-86.46284609650394,30.542719660063728,0.16666667
ssp245,t10,-86.23826727547406,30.542719660063728,0.16767678
ssp245,t10,-86.01368845444418,30.542719660063728,0.17878789
ssp245,t10,-85.7891096334143,30.542719660063728,0.17575757
ssp245,t10,-85.56453081238442,30.542719660063728,0.18080808
ssp245,t10,-85.33995199135454,30.542719660063728,0.17777777
ssp245,t10,-85.11537317032466,30.542719660063728,0.17777777
ssp245,t10,-84.89079434929477,30.542719660063728,0.17575759
ssp245,t10,-84.66621552826489,30.542719660063728,0.16868687
ssp245,t10,-84.441636707235,30.542719660063728,0.18585858
ssp245,t10,-84.21705788620513,30.542719660063728,0.20101011
ssp245,t10,-83.99247906517525,30.542719660063728,0.22727273
ssp245,t10,-83.76790024414537,30.542719660063728,0.23838383
ssp245,t10,-83.54332142311549,30.542719660063728,0.26868683
ssp245,t10,-83.3187426020856,30.542719660063728,0.26767674
ssp245,t10,-83.09416378105573,30.542719660063728,0.28080806
ssp245,t10,-82.86958496002585,30.542719660063728,0.28080806
ssp245,t10,-82.64500613899597,30.542719660063728,0.29696968
ssp245,t10,-82.42042731796609,30.542719660063728,0.29292926
ssp245,t10,-81.97126967590633,30.542719660063728,0.24848482
ssp245,t10,-81.74669085487645,30.542719660063728,0.24848479
ssp245,t10,-81.52211203384657,30.542719660063728,0.23737371
ssp245,t10,-85.7891096334143,30.318140839033845,0.19090909
ssp245,t10,-85.56453081238442,30.318140839033845,0.16262627
ssp245,t10,-85.33995199135454,30.318140839033845,0.17575757
ssp245,t10,-85.11537317032466,30.318140839033845,0.17575757
ssp245,t10,-84.89079434929477,30.318140839033845,0.18282829
ssp245,t10,-84.66621552826489,30.318140839033845,0.16969697
ssp245,t10,-84.441636707235,30.318140839033845,0.1838384
ssp245,t10,-84.21705788620513,30.318140839033845,0.20808084
ssp245,t10,-83.99247906517525,30.318140839033845,0.24242425
ssp245,t10,-83.76790024414537,30.318140839033845,0.24343432
ssp245,t10,-83.54332142311549,30.318140839033845,0.250505
ssp245,t10,-83.3187426020856,30.318140839033845,0.23939393
ssp245,t10,-83.09416378105573,30.318140839033845,0.25858584
ssp245,t10,-82.86958496002585,30.318140839033845,0.25858584
ssp245,t10,-82.64500613899597,30.318140839033845,0.28484848
ssp245,t10,-82.42042731796609,30.318140839033845,0.29494953
ssp245,t10,-82.19584849693621,30.318140839033845,0.289899
ssp245,t10,-81.97126967590633,30.318140839033845,0.26060608
ssp245,t10,-81.74669085487645,30.318140839033845,0.23737372
ssp245,t10,-81.52211203384657,30.318140839033845,0.250505
ssp245,t10,-85.56453081238442,30.093562018003965,0.17070705
ssp245,t10,-85.33995199135454,30.093562018003965,0.16666667
ssp245,t10,-85.11537317032466,30.093562018003965,0.16666667
ssp245,t10,-84.89079434929477,30.093562018003965,0.17474748
ssp245,t10,-84.66621552826489,30.093562018003965,0.17171718
ssp245,t10,-83.76790024414537,30.093562018003965,0.26161614
ssp245,t10,-83.54332142311549,30.093562018003965,0.28282824
ssp245,t10,-83.3187426020856,30.093562018003965,0.2555555
ssp245,t10,-83.09416378105573,30.093562018003965,0.26565656
ssp245,t10,-82.86958496002585,30.093562018003965,0.26565656
ssp245,t10,-82.64500613899597,30.093562018003965,0.26262623
ssp245,t10,-82.42042731796609,30.093562018003965,0.2525252
ssp245,t10,-82.19584849693621,30.093562018003965,0.24949493
ssp245,t10,-81.97126967590633,30.093562018003965,0.26060605
ssp245,t10,-81.74669085487645,30.093562018003965,0.2515151
ssp245,t10,-81.52211203384657,30.093562018003965,0.24141413
ssp245,t10,-85.33995199135454,29.868983196974085,0.16666667
ssp245,t10,-85.11537317032466,29.868983196974085,0.16565657
ssp245,t10,-83.54332142311549,29.868983196974085,0.28282824
ssp245,t10,-83.3187426020856,29.868983196974085,0.2555555
ssp245,t10,-83.09416378105573,29.868983196974085,0.26565656
ssp245,t10,-82.86958496002585,29.868983196974085,0.26565656
ssp245,t10,-82.64500613899597,29.868983196974085,0.26262623
ssp245,t10,-82.42042731796609,29.868983196974085,0.2525252
ssp245,t10,-82.19584849693621,29.868983196974085,0.24949493
ssp245,t10,-81.97126967590633,29.868983196974085,0.26060605
ssp245,t10,-81.74669085487645,29.868983196974085,0.2515151
ssp245,t10,-81.52211203384657,29.868983196974085,0.24141413
ssp245,t10,-83.3187426020856,29.644404375944205,0.25252524
ssp245,t10,-83.09416378105573,29.644404375944205,0.2565657
ssp245,t10,-82.86958496002585,29.644404375944205,0.2565657
ssp245,t10,-82.64500613899597,29.644404375944205,0.24040402
ssp245,t10,-82.42042731796609,29.644404375944205,0.23737371
ssp245,t10,-82.19584849693621,29.644404375944205,0.25353533
ssp245,t10,-81.97126967590633,29.644404375944205,0.26666665
ssp245,t10,-81.74669085487645,29.644404375944205,0.2393939
ssp245,t10,-81.52211203384657,29.644404375944205,0.2191919
ssp245,t10,-81.29753321281669,29.644404375944205,0.19898988
ssp245,t10,-83.09416378105573,29.419825554914325,0.28282827
ssp245,t10,-82.86958496002585,29.419825554914325,0.28282827
ssp245,t10,-82.64500613899597,29.419825554914325,0.25858587
ssp245,t10,-82.42042731796609,29.419825554914325,0.25959593
ssp245,t10,-82.19584849693621,29.419825554914325,0.2585858
ssp245,t10,-81.97126967590633,29.419825554914325,0.26060605
ssp245,t10,-81.74669085487645,29.419825554914325,0.2393939
ssp245,t10,-81.52211203384657,29.419825554914325,0.21818179
ssp245,t10,-81.29753321281669,29.419825554914325,0.19393939
ssp245,t10,-82.86958496002585,29.195246733884446,0.28181815
ssp245,t10,-82.64500613899597,29.195246733884446,0.2848485
ssp245,t10,-82.42042731796609,29.195246733884446,0.25757575
ssp245,t10,-82.19584849693621,29.195246733884446,0.25858584
ssp245,t10,-81.97126967590633,29.195246733884446,0.24747473
ssp245,t10,-81.74669085487645,29.195246733884446,0.24242422
ssp245,t10,-81.52211203384657,29.195246733884446,0.20909089
ssp245,t10,-81.29753321281669,29.195246733884446,0.19696972
ssp245,t10,-81.07295439178681,29.195246733884446,0.1757576
ssp245,t10,-82.64500613899597,28.970667912854566,0.26868686
ssp245,t10,-82.42042731796609,28.970667912854566,0.26464644
ssp245,t10,-82.19584849693621,28.970667912854566,0.24141414
ssp245,t10,-81.97126967590633,28.970667912854566,0.22929291
ssp245,t10,-81.74669085487645,28.970667912854566,0.2232323
ssp245,t10,-81.52211203384657,28.970667912854566,0.1929293
ssp245,t10,-81.29753321281669,28.970667912854566,0.17373738
ssp245,t10,-81.07295439178681,28.970667912854566,0.19191921
ssp245,t10,-82.64500613899597,28.746089091824683,0.26464647
ssp245,t10,-82.42042731796609,28.746089091824683,0.25959593
ssp245,t10,-82.19584849693621,28.746089091824683,0.23737372
ssp245,t10,-81.97126967590633,28.746089091824683,0.2141414
ssp245,t10,-81.74669085487645,28.746089091824683,0.20707068
ssp245,t10,-81.52211203384657,28.746089091824683,0.2030303
ssp245,t10,-81.29753321281669,28.746089091824683,0.1989899
ssp245,t10,-81.07295439178681,28.746089091824683,0.2151515
ssp245,t10,-80.84837557075693,28.746089091824683,0.21414141
ssp245,t10,-82.64500613899597,28.521510270794803,0.2333333
ssp245,t10,-82.42042731796609,28.521510270794803,0.2535353
ssp245,t10,-82.19584849693621,28.521510270794803,0.24343432
ssp245,t10,-81.97126967590633,28.521510270794803,0.22828281
ssp245,t10,-81.74669085487645,28.521510270794803,0.22626264
ssp245,t10,-81.52211203384657,28.521510270794803,0.22323231
ssp245,t10,-81.29753321281669,28.521510270794803,0.21818182
ssp245,t10,-81.07295439178681,28.521510270794803,0.21919191
ssp245,t10,-80.84837557075693,28.521510270794803,0.21414141
ssp245,t10,-82.86958496002585,28.296931449764923,0.2454545
ssp245,t10,-82.64500613899597,28.296931449764923,0.23838381
ssp245,t10,-82.42042731796609,28.296931449764923,0.23636363
ssp245,t10,-82.19584849693621,28.296931449764923,0.2080808
ssp245,t10,-81.97126967590633,28.296931449764923,0.21818182
ssp245,t10,-81.74669085487645,28.296931449764923,0.230303
ssp245,t10,-81.52211203384657,28.296931449764923,0.21919191
ssp245,t10,-81.29753321281669,28.296931449764923,0.22424242
ssp245,t10,-81.07295439178681,28.296931449764923,0.25454542
ssp245,t10,-80.84837557075693,28.296931449764923,0.21515149
ssp245,t10,-82.86958496002585,28.072352628735043,0.22121209
ssp245,t10,-82.64500613899597,28.072352628735043,0.19898987
ssp245,t10,-82.42042731796609,28.072352628735043,0.18484849
ssp245,t10,-82.19584849693621,28.072352628735043,0.19898988
ssp245,t10,-81.97126967590633,28.072352628735043,0.20202018
ssp245,t10,-81.74669085487645,28.072352628735043,0.20101008
ssp245,t10,-81.52211203384657,28.072352628735043,0.2111111
ssp245,t10,-81.29753321281669,28.072352628735043,0.23333333
ssp245,t10,-81.07295439178681,28.072352628735043,0.23232321
ssp245,t10,-80.84837557075693,28.072352628735043,0.2272727
ssp245,t10,-80.62379674972705,28.072352628735043,0.2252525
ssp245,t10,-82.42042731796609,27.847773807705163,0.19393939
ssp245,t10,-82.19584849693621,27.847773807705163,0.18181817
ssp245,t10,-81.97126967590633,27.847773807705163,0.17474747
ssp245,t10,-81.74669085487645,27.847773807705163,0.18888885
ssp245,t10,-81.52211203384657,27.847773807705163,0.21111107
ssp245,t10,-81.29753321281669,27.847773807705163,0.22828278
ssp245,t10,-81.07295439178681,27.847773807705163,0.20606059
ssp245,t10,-80.84837557075693,27.847773807705163,0.2171717
ssp245,t10,-80.62379674972705,27.847773807705163,0.2151515
ssp245,t10,-82.64500613899597,27.62319498667528,0.19999999
ssp245,t10,-82.42042731796609,27.62319498667528,0.19292928
ssp245,t10,-82.19584849693621,27.62319498667528,0.18181817
ssp245,t10,-81.97126967590633,27.62319498667528,0.17575757
ssp245,t10,-81.74669085487645,27.62319498667528,0.18888885
