scenario,model,threshold,mean_change,median_change,std_change,min_change,max_change
ssp585,UKESM1-0-LL,t10,0.15608465671539307,0.0,0.19506901502609253,-0.10000000149011612,0.699999988079071
ssp585,GFDL-CM4,t10,0.15438398718833923,0.0,0.1917114108800888,-0.06666667014360428,0.7333333492279053
ssp585,GISS-E2-1-G,t10,0.14832767844200134,0.0,0.18757808208465576,-0.06666667014360428,0.7333333492279053
ssp585,IPSL-CM6A-LR,t10,0.14526644349098206,0.0,0.193290114402771,-0.20000000298023224,0.7333333492279053
ssp585,CESM2-WACCM,t10,0.1338340938091278,0.0,0.17111432552337646,-0.06666667014360428,0.6666666865348816
ssp585,TaiESM1,t10,0.12739986181259155,0.0,0.1608060747385025,-0.06666667014360428,0.6666666865348816
ssp585,EC-Earth3-Veg-LR,t10,0.12585978209972382,0.0,0.1725945621728897,-0.10000000149011612,0.800000011920929
ssp585,EC-Earth3,t10,0.12215608358383179,0.0,0.15876421332359314,-0.10000000149011612,0.6333333253860474
ssp585,HadGEM3-GC31-LL,t10,0.11683674156665802,0.0,0.16822393238544464,-0.10000000149011612,0.699999988079071
ssp585,KIOST-ESM,t10,0.11642101407051086,0.0,0.145826518535614,-0.03333333507180214,0.6000000238418579
ssp585,ACCESS-ESM1-5,t10,0.11590135842561722,0.0,0.14774928987026215,-0.1666666716337204,0.6333333253860474
ssp585,MIROC6,t10,0.11492819339036942,0.0,0.16275493800640106,-0.10000000149011612,0.7333333492279053
ssp585,GFDL-ESM4,t10,0.1140778586268425,0.0,0.15023992955684662,-0.06666667014360428,0.6333333253860474
ssp585,NorESM2-MM,t10,0.11338813602924347,0.0,0.1480002999305725,-0.10000000149011612,0.5666666626930237
ssp585,ACCESS-CM2,t10,0.10997732728719711,0.0,0.148493230342865,-0.10000000149011612,0.6333333253860474
ssp585,NESM3,t10,0.10206916183233261,0.0,0.14552123844623566,-0.06666667014360428,0.6000000238418579
ssp585,CNRM-CM6-1,t10,0.10058579593896866,0.0,0.1368316113948822,-0.06666667014360428,0.5666666626930237
ssp585,CESM2,t10,0.09961263090372086,0.0,0.13479280471801758,-0.10000000149011612,0.6333333253860474
ssp585,NorESM2-LM,t10,0.08893612772226334,0.0,0.12465665489435196,-0.06666667014360428,0.6000000238418579
ssp585,BCC-CSM2-MR,t10,0.08685752749443054,0.0,0.13797496259212494,-0.20000000298023224,0.6000000238418579
ssp585,KACE-1-0-G,t10,0.08674413710832596,0.0,0.13584540784358978,-0.10000000149011612,0.6000000238418579
ssp585,FGOALS-g3,t10,0.08348450809717178,0.0,0.11282679438591003,-0.06666667014360428,0.5333333611488342
ssp585,CNRM-ESM2-1,t10,0.08211451768875122,0.0,0.12383659183979034,-0.10000000149011612,0.5333333611488342
ssp585,CMCC-ESM2,t10,0.08006425201892853,0.0,0.12016154825687408,-0.30000001192092896,0.6000000238418579
ssp585,CanESM5,t10,0.07707861065864563,0.0,0.12509480118751526,-0.20000000298023224,0.6000000238418579
ssp585,INM-CM4-8,t10,0.0724395364522934,0.0,0.10721218585968018,-0.13333334028720856,0.46666666865348816
ssp585,MRI-ESM2-0,t10,0.07128684967756271,0.0,0.11714514344930649,-0.13333334028720856,0.6000000238418579
ssp585,MPI-ESM1-2-HR,t10,0.06895314157009125,0.0,0.10376419872045517,-0.06666667014360428,0.5333333611488342
ssp585,INM-CM5-0,t10,0.06863190233707428,0.0,0.10344856232404709,-0.10000000149011612,0.46666666865348816
ssp585,CMCC-CM2-SR5,t10,0.06810279190540314,0.0,0.10867141932249069,-0.13333334028720856,0.5333333611488342
ssp585,MIROC-ES2L,t10,0.04521920159459114,0.0,0.09082955867052078,-0.10000000149011612,0.46666666865348816
ssp585,MPI-ESM1-2-LR,t10,0.03727324306964874,0.0,0.07269535958766937,-0.13333334028720856,0.3333333432674408
ssp585,KACE-1-0-G,t100,0.018915345892310143,0.0,0.04169479385018349,0.0,0.30000001192092896
ssp585,IPSL-CM6A-LR,t100,0.015438397414982319,0.0,0.03924043849110603,-0.03333333507180214,0.6000000238418579
ssp585,CESM2-WACCM,t100,0.009136433713138103,0.0,0.02899787575006485,-0.03333333507180214,0.46666666865348816
ssp585,UKESM1-0-LL,t100,0.007842025719583035,0.0,0.024298768490552902,-0.03333333507180214,0.4000000059604645
ssp585,HadGEM3-GC31-LL,t100,0.007511338219046593,0.0,0.027377240359783173,-0.03333333507180214,0.6000000238418579
ssp585,GISS-E2-1-G,t100,0.006538171786814928,0.0,0.022181564942002296,-0.03333333507180214,0.4333333373069763
